contrast,primary,metric,delta_ratio,delta_pp,CI95_lower_pp,CI95_upper_pp
O - M0_fp32,True,future_macro_gmo,0.00802941974932811,0.8029419749328109,0.6817817621685348,0.9406098037937325
O - M0_fp32,True,future_macro_binary_miou,0.004076502658254544,0.4076502658254544,0.34618806432550664,0.4772839808907872
O - M0_fp32,True,future_pooled_gmo,0.00836143717734053,0.836143717734053,0.7153946190180476,0.9711856971601122
O - M0_fp32,True,future_pooled_binary_miou,0.004242514105531114,0.42425141055311144,0.36317644395207876,0.4926892060777634
O - native1,True,future_macro_gmo,0.010201467383386537,1.0201467383386538,0.929598415154961,1.1115063787903101
O - native1,True,future_macro_binary_miou,0.005306780193245264,0.5306780193245264,0.48467851971593,0.5769604507591416
O - native1,True,future_pooled_gmo,0.01054363968684957,1.054363968684957,0.9668094713781346,1.1423329042714125
O - native1,True,future_pooled_binary_miou,0.005477868757221671,0.5477868757221671,0.5030107134823492,0.5924978736402003
native1 - M0_fp32,False,future_macro_gmo,-0.002172047634058427,-0.21720476340584272,-0.3263589854300068,-0.10603540951787352
native1 - M0_fp32,False,future_macro_binary_miou,-0.0012302775349907202,-0.12302775349907202,-0.17796962700458302,-0.06667192885049356
native1 - M0_fp32,False,future_pooled_gmo,-0.0021822025095090403,-0.21822025095090403,-0.3274001552562738,-0.10683232008228641
native1 - M0_fp32,False,future_pooled_binary_miou,-0.0012353546516905567,-0.12353546516905567,-0.17856174861947294,-0.0670955272997878
M0_fp32 - M0,False,future_macro_gmo,4.750741993408969e-06,0.0004750741993408969,-0.00035017717640743734,0.0013523893058418194
M0_fp32 - M0,False,future_macro_binary_miou,2.3876867384364786e-06,0.00023876867384364786,-0.00017549145763434693,0.0006789724149725003
M0_fp32 - M0,False,future_pooled_gmo,4.78685610155738e-06,0.00047868561015573796,-0.000342259883850185,0.0013476153821109775
M0_fp32 - M0,False,future_pooled_binary_miou,2.40574446352948e-06,0.000240574446352948,-0.00017299400312392743,0.0006782236004349017
