model,horizon_seconds,GMO_ratio,GMO_percent,binary_mIoU_ratio,binary_mIoU_percent,TN,FP,FN,TP
M0,0.0,0.15972382339580052,15.972382339580053,0.5788322925362368,57.88322925362368,53545113346,90525361,19964313,21002420
M0,0.5,0.15183460079271885,15.183460079271885,0.5748787032580711,57.48787032580711,53545197942,91016774,20438519,19952205
M0,1.0,0.14368490541172674,14.368490541172674,0.5708228804837089,57.08228804837089,53548828977,88133534,21283380,18359549
M0,1.5,0.13523121993891385,13.523121993891385,0.5666192333978994,56.661923339789944,53552952847,84876308,22054594,16721691
M0,2.0,0.1270243071498953,12.702430714989529,0.5625366863860611,56.253668638606115,53556682495,82089100,22600716,15233129
M0_fp32,0.0,0.15972392996918572,15.972392996918572,0.5788323444335809,57.88323444335809,53545113152,90525555,19964268,21002465
M0_fp32,0.5,0.15183566267268003,15.183566267268004,0.5748792218805395,57.48792218805395,53545196220,91018496,20438118,19952606
M0_fp32,1.0,0.143686242063629,14.3686242063629,0.5708235442756597,57.082354427565974,53548828210,88134301,21283099,18359830
M0_fp32,1.5,0.13523655221637984,13.523655221637984,0.5666219184438038,56.66219184438038,53552954432,84874723,22054149,16722136
M0_fp32,2.0,0.12703557930853945,12.703557930853945,0.5625423696726913,56.25423696726914,53556686752,82084843,22599905,15233940
native1,0.0,0.1574467678984003,15.744676789840032,0.5776325011926701,57.763250119267006,53537668177,97970530,19091510,21875223
native1,0.5,0.14840905758713852,14.840905758713852,0.5730173110145989,57.301731101459886,53527004362,109210354,18188569,22202155
native1,1.0,0.14128764053841494,14.128764053841495,0.5694706365769521,56.94706365769521,53529994725,106967786,18928647,20714282
native1,1.5,0.13370355447097712,13.370355447097712,0.5657125410836178,56.57125410836178,53535478616,102350539,19907127,18869158
native1,2.0,0.12570559312846402,12.570559312846402,0.5617454554575625,56.174545545756246,53540680080,98091515,20747267,17086578
O,0.0,0.15832813965391446,15.832813965391445,0.5780918569059836,57.80918569059836,53539902419,95736288,19322798,21643935
O,0.5,0.15637147307536567,15.637147307536567,0.5771380781310778,57.71380781310778,53543340826,92873890,19551940,20838784
O,1.0,0.15153522666550803,15.153522666550803,0.5747838890971892,57.47838890971892,53552182054,84780457,20788403,18854526
O,1.5,0.14486571732776923,14.486571732776923,0.5715227323848514,57.152273238485144,53562383778,75445377,22229482,16546803
O,2.0,0.13713929818989792,13.713929818989792,0.5677283652925942,56.77283652925942,53571964712,66806883,23483489,14350356
