contrast,primary_contrast,metric,delta_ratio,delta_pp,ci95_lower_pp,ci95_upper_pp
F - M0_fp32,True,future_macro_gmo,0.0030797120866730976,0.30797120866730976,0.1376908302627268,0.4862321884921472
F - M0_fp32,True,future_macro_binary_miou,0.0014909467586579073,0.14909467586579073,0.06221415391856416,0.23975678006236123
F - M0_fp32,True,future_pooled_gmo,0.0031727095762963398,0.317270957629634,0.14593836187490453,0.4956122463393297
F - M0_fp32,True,future_pooled_binary_miou,0.0015374462925354937,0.15374462925354937,0.06614802774471434,0.2444060246580984
F - native1,True,future_macro_gmo,0.0047601795583107065,0.47601795583107065,0.4126378882350362,0.5452993521981477
F - native1,True,future_macro_binary_miou,0.0024924598977802415,0.24924598977802415,0.21774526768104457,0.2836369694188315
F - native1,True,future_pooled_gmo,0.004866829109485743,0.4866829109485743,0.4230125917915387,0.5560800531191767
F - native1,True,future_pooled_binary_miou,0.002545785066154993,0.2545785066154993,0.22298455250575416,0.2891932722080476
O - M0_fp32,True,future_macro_gmo,0.007573941972911974,0.7573941972911974,0.5727464790134676,0.9633981405974776
O - M0_fp32,True,future_macro_binary_miou,0.003853527040915017,0.3853527040915017,0.292435649244491,0.4899472033897783
O - M0_fp32,True,future_pooled_gmo,0.008003747811798745,0.8003747811798745,0.6203061570766633,1.00342352937801
O - M0_fp32,True,future_pooled_binary_miou,0.004068433504629598,0.40684335046295983,0.3157441892718102,0.5097062123480752
O - native1,True,future_macro_gmo,0.009254409444549583,0.9254409444549583,0.7890497087048292,1.0615852544253466
O - native1,True,future_macro_binary_miou,0.004855040180037351,0.4855040180037351,0.4162258345867078,0.5541087105668548
O - native1,True,future_pooled_gmo,0.009697867344988148,0.9697867344988148,0.8365927142319062,1.1018325503439312
O - native1,True,future_pooled_binary_miou,0.005076772278249098,0.5076772278249098,0.44011909961874235,0.5746235748259034
native1 - M0_fp32,False,future_macro_gmo,-0.001680467471637609,-0.1680467471637609,-0.33281858397886815,0.007310429610549613
native1 - M0_fp32,False,future_macro_binary_miou,-0.0010015131391223342,-0.10015131391223342,-0.18444922523294743,-0.010442236009448902
native1 - M0_fp32,False,future_pooled_gmo,-0.0016941195331894032,-0.16941195331894032,-0.334982126138142,0.006562560959333701
native1 - M0_fp32,False,future_pooled_binary_miou,-0.0010083387736194993,-0.10083387736194993,-0.18541863305325867,-0.011090063597663239
M0_fp32 - M0,False,future_macro_gmo,2.751391743160969e-05,0.002751391743160969,0.00011816488544071087,0.005410002309542278
M0_fp32 - M0,False,future_macro_binary_miou,1.3870435178420237e-05,0.0013870435178420237,6.516411445195441e-05,0.002723301000014944
M0_fp32 - M0,False,future_pooled_gmo,2.748278107450597e-05,0.002748278107450597,0.0001383090049292963,0.00538949382854148
M0_fp32 - M0,False,future_pooled_binary_miou,1.3854868614715521e-05,0.001385486861471552,7.632065214785434e-05,0.002713662502211722
