model,horizon_seconds,GMO_ratio,GMO_percent,binary_mIoU_ratio,binary_mIoU_percent,TN,FP,FN,TP,GT_non_GMO,GT_GMO
M0,0.0,0.16078231275579058,16.078231275579057,0.5792656399570586,57.92656399570586,2091529236,3869286,849437,904041,2095398522,1753478
M0,0.5,0.15319519305757293,15.319519305757293,0.5754637563990732,57.546375639907325,2091538286,3874795,878925,859994,2095413081,1738919
M0,1.0,0.14384078686497495,14.384078686497496,0.5708053646774305,57.080536467743045,2091691546,3759027,915991,785436,2095450573,1701427
M0,1.5,0.13405056363901974,13.405056363901974,0.5659338653835119,56.59338653835119,2091867412,3616822,959364,708402,2095484234,1667766
M0,2.0,0.12506750571681435,12.506750571681435,0.5614619285158999,56.146192851589994,2092015398,3506429,987751,642422,2095521827,1630173
M0_fp32,0.0,0.16078275771795084,16.078275771795084,0.5792658686407689,57.92658686407689,2091529264,3869258,849439,904039,2095398522,1753478
M0_fp32,0.5,0.15320130178969363,15.320130178969363,0.5754667995283599,57.54667995283599,2091538190,3874891,878876,860043,2095413081,1738919
M0_fp32,1.0,0.143868715037754,14.3868715037754,0.5708194949713905,57.08194949713905,2091692182,3758391,915930,785497,2095450573,1701427
M0_fp32,1.5,0.13408695467863316,13.408695467863316,0.5659522103772142,56.59522103772142,2091867914,3616320,959239,708527,2095484234,1667766
M0_fp32,2.0,0.12510713344202762,12.510713344202761,0.5614818918396651,56.148189183966515,2092015882,3505945,987608,642565,2095521827,1630173
native1,0.0,0.15833965586920376,15.833965586920376,0.5779751321162568,57.797513211625684,2091201065,4197457,811209,942269,2095398522,1753478
native1,0.5,0.14990775475974055,14.990775475974056,0.5736535498207369,57.36535498207369,2090739203,4673878,777591,961328,2095413081,1738919
native1,1.0,0.1420526426036957,14.205264260369571,0.5697406818411099,56.97406818411099,2090869484,4581089,808979,892448,2095450573,1701427
native1,1.5,0.133111743464308,13.311174346430802,0.5653047322050189,56.53047322050189,2091100881,4383353,862291,805475,2095484234,1667766
native1,2.0,0.12447009423381375,12.447009423381376,0.5610153802932741,56.101538029327415,2091311103,4210724,903156,727017,2095521827,1630173
F,0.0,0.16075160319685355,16.075160319685356,0.5792259348910684,57.922593489106845,2091407852,3990670,830097,923381,2095398522,1753478
F,0.5,0.1549417259436918,15.494172594369179,0.5762704043221952,57.62704043221952,2091196348,4216733,816140,922779,2095413081,1738919
F,1.0,0.14706420631596517,14.706420631596517,0.5723571480430094,57.23571480430094,2091376509,4074064,852059,849368,2095450573,1701427
F,1.5,0.1378749693082877,13.78749693082877,0.5678035830002331,56.780358300023316,2091637482,3846752,907452,760314,2095484234,1667766
F,2.0,0.12870205172685606,12.870205172685607,0.5632530483858231,56.32530483858231,2091868207,3653620,950138,680035,2095521827,1630173
O,0.0,0.15919135166218118,15.919135166218117,0.5784210269598183,57.842102695981836,2091294967,4103555,821089,932389,2095398522,1753478
O,0.5,0.15757836297017255,15.757836297017255,0.5776421560051774,57.764215600517744,2091443564,3969517,839393,899526,2095413081,1738919
O,1.0,0.15131982961502527,15.131982961502526,0.5745827234917136,57.45827234917136,2091830404,3620169,896164,805263,2095450573,1701427
O,1.5,0.14295167528202807,14.295167528202807,0.5704784153001723,57.04784153001723,2092272344,3211890,970211,697555,2095484234,1667766
O,2.0,0.13471000497253047,13.471000497253046,0.566431210083226,56.64312100832261,2092675406,2846421,1027131,603042,2095521827,1630173
