clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,quality_support_fraction
nominal,0.5,all,zero,373,40622,0.6567450000573326,0.6683432254973444,0.0,0.3330032803671493,0.28047224359881073
nominal,0.5,all,D,373,40622,0.44377511622794596,0.45417120106328646,0.7249305202221108,0.3330032803671493,0.28047224359881073
nominal,0.5,all,CRN_CV,373,40622,0.3016906940553417,0.31508233781325773,0.8583181279826082,0.3330032803671493,0.28047224359881073
nominal,0.5,all,CV_D_speed05,373,40622,0.27773294918686425,0.29112760147643557,0.9270133788683432,0.3330032803671493,0.28047224359881073
nominal,0.5,all,surface_all_zero,373,40622,0.6791844260231423,0.6884656854445876,0.5648321632994371,0.3330032803671493,0.28047224359881073
nominal,0.5,all,surface_quality_zero,373,40622,0.6538439072267823,0.6640099245501626,0.44021530947622095,0.3330032803671493,0.28047224359881073
nominal,0.5,all,CV_surface_all_uncovered,373,40622,0.31606770243200716,0.32845762445991566,0.9755181317657057,0.3330032803671493,0.28047224359881073
nominal,0.5,all,CV_surface_quality_uncovered,373,40622,0.3049382406401213,0.3177458722984176,0.9316137303957375,0.3330032803671493,0.28047224359881073
nominal,0.5,stationary,zero,184,18667,0.011037193621901125,0.02950468373243219,0.0,0.30728948222947966,0.26334342088610785
nominal,0.5,stationary,D,184,18667,0.05294487294119879,0.06734722483602229,0.1006628141982511,0.30728948222947966,0.26334342088610785
nominal,0.5,stationary,CRN_CV,184,18667,0.0158253056713551,0.03364995264502032,0.010779323167090828,0.30728948222947966,0.26334342088610785
nominal,0.5,stationary,CV_D_speed05,184,18667,0.017761295738511273,0.03556232867717444,0.01471886080074885,0.30728948222947966,0.26334342088610785
nominal,0.5,stationary,surface_all_zero,184,18667,0.16258904405522104,0.17600703896881303,0.3093197678182367,0.30728948222947966,0.26334342088610785
nominal,0.5,stationary,surface_quality_zero,184,18667,0.11391796767438711,0.12915485877514032,0.2111522087846334,0.30728948222947966,0.26334342088610785
nominal,0.5,stationary,CV_surface_all_uncovered,184,18667,0.060133085015504406,0.07591961739330466,0.10069667209623433,0.30728948222947966,0.26334342088610785
nominal,0.5,stationary,CV_surface_quality_uncovered,184,18667,0.03996124837420416,0.05655597345381119,0.06001367604392074,0.30728948222947966,0.26334342088610785
nominal,0.5,ambiguous,zero,47,7237,0.10265601702990956,0.11285053870133963,0.0,0.3538732830682648,0.2977388217116097
nominal,0.5,ambiguous,D,47,7237,0.12525331367963874,0.13511529866742175,0.11651060606876405,0.3538732830682648,0.2977388217116097
nominal,0.5,ambiguous,CRN_CV,47,7237,0.11680921431439813,0.1270020107510264,0.03279745002716688,0.3538732830682648,0.2977388217116097
nominal,0.5,ambiguous,CV_D_speed05,47,7237,0.12047102014983563,0.13055654772288566,0.04270379801641479,0.3538732830682648,0.2977388217116097
nominal,0.5,ambiguous,surface_all_zero,47,7237,0.2533142130173394,0.2625194196058646,0.3869258921082278,0.3538732830682648,0.2977388217116097
nominal,0.5,ambiguous,surface_quality_zero,47,7237,0.20631118220961206,0.21589308001640237,0.2752661008101552,0.3538732830682648,0.2977388217116097
nominal,0.5,ambiguous,CV_surface_all_uncovered,47,7237,0.14608610641559192,0.15610327178430525,0.10903860992975174,0.3538732830682648,0.2977388217116097
nominal,0.5,ambiguous,CV_surface_quality_uncovered,47,7237,0.13681098676746195,0.14691918731762527,0.086060673542873,0.3538732830682648,0.2977388217116097
nominal,0.5,moving,zero,142,14718,1.676832454891194,1.6799942674984434,0.0,0.3594148911444648,0.2969523436539922
nominal,0.5,moving,D,142,14718,1.0556292675274666,1.0610109126014713,1.735219209472798,0.3594148911444648,0.2969523436539922
nominal,0.5,moving,CRN_CV,142,14718,0.733300982861524,0.7420072268476278,2.2297731417147277,0.3594148911444648,0.2969523436539922
nominal,0.5,moving,CV_D_speed05,142,14718,0.6666491104490987,0.6754293600784138,2.401835502984386,0.3594148911444648,0.2969523436539922
nominal,0.5,moving,surface_all_zero,142,14718,1.4895326675257496,1.493478822387986,0.9548031176270969,0.3594148911444648,0.2969523436539922
nominal,0.5,moving,surface_quality_zero,142,14718,1.5015932801383862,1.5053819231113654,0.7916253329590183,0.3594148911444648,0.2969523436539922
nominal,0.5,moving,CV_surface_all_uncovered,142,14718,0.7039628053715001,0.7127368348543531,2.395882118423963,0.3594148911444648,0.2969523436539922
nominal,0.5,moving,CV_surface_quality_uncovered,142,14718,0.7039364625340913,0.7127303482245079,2.34087713654235,0.3594148911444648,0.2969523436539922
nominal,1.0,all,zero,366,39975,1.2602264619109147,1.2802993571791126,0.0,0.338365288741523,0.28536224639151625
nominal,1.0,all,D,366,39975,0.8053896457440783,0.8236570422292054,0.726797379537968,0.338365288741523,0.28536224639151625
nominal,1.0,all,CRN_CV,366,39975,0.5538969353351048,0.5770617616273134,0.8747040311781276,0.338365288741523,0.28536224639151625
nominal,1.0,all,CV_D_speed05,366,39975,0.5037708563352533,0.5269744911330531,0.944127922625506,0.338365288741523,0.28536224639151625
nominal,1.0,all,surface_all_zero,366,39975,1.3072378405303442,1.3234748356603057,0.5755175434364826,0.338365288741523,0.28536224639151625
nominal,1.0,all,surface_quality_zero,366,39975,1.2535823448910826,1.271307213068429,0.44876791143659855,0.338365288741523,0.28536224639151625
nominal,1.0,all,CV_surface_all_uncovered,366,39975,0.5834752539523252,0.6049315494092267,0.994016371213286,0.338365288741523,0.28536224639151625
nominal,1.0,all,CV_surface_quality_uncovered,366,39975,0.5607861864235745,0.5830027570529839,0.9492722681777721,0.338365288741523,0.28536224639151625
nominal,1.0,stationary,zero,180,18337,0.02509893780165559,0.05482626941543632,0.0,0.3131069920280624,0.2656142357504035
nominal,1.0,stationary,D,180,18337,0.09796353829894705,0.12086380343248063,0.09040349416319585,0.3131069920280624,0.2656142357504035
nominal,1.0,stationary,CRN_CV,180,18337,0.03445256194259361,0.06325535754602926,0.011180930134919213,0.3131069920280624,0.2656142357504035
nominal,1.0,stationary,CV_D_speed05,180,18337,0.03838456948125217,0.06713266700065948,0.01517651870805479,0.3131069920280624,0.2656142357504035
nominal,1.0,stationary,surface_all_zero,180,18337,0.33275154610272023,0.3540643228807929,0.3156381144876309,0.3131069920280624,0.2656142357504035
nominal,1.0,stationary,surface_quality_zero,180,18337,0.23251264226142251,0.2569960241958183,0.2137766416659093,0.3131069920280624,0.2656142357504035
nominal,1.0,stationary,CV_surface_all_uncovered,180,18337,0.12565370343928073,0.15100103647198437,0.10393667523974703,0.3131069920280624,0.2656142357504035
nominal,1.0,stationary,CV_surface_quality_uncovered,180,18337,0.0853006008240114,0.11215820778547819,0.06314346854568009,0.3131069920280624,0.2656142357504035
nominal,1.0,ambiguous,zero,51,9050,0.21746740150770247,0.23819688133581693,0.0,0.37224512871288856,0.3267781605761055
nominal,1.0,ambiguous,D,51,9050,0.2466403688263478,0.26638042478635826,0.11760772683730508,0.37224512871288856,0.3267781605761055
nominal,1.0,ambiguous,CRN_CV,51,9050,0.24679431816757366,0.2675471665488183,0.05822166423247533,0.37224512871288856,0.3267781605761055
nominal,1.0,ambiguous,CV_D_speed05,51,9050,0.25401715987064916,0.27454960296011305,0.06863013839884022,0.37224512871288856,0.3267781605761055
nominal,1.0,ambiguous,surface_all_zero,51,9050,0.5536353496905668,0.5748969036493775,0.4325024659025612,0.37224512871288856,0.3267781605761055
nominal,1.0,ambiguous,surface_quality_zero,51,9050,0.4573837723053229,0.47855870850172166,0.3224016285215383,0.37224512871288856,0.3267781605761055
nominal,1.0,ambiguous,CV_surface_all_uncovered,51,9050,0.3069883019806268,0.3279623792314209,0.13894516306528437,0.37224512871288856,0.3267781605761055
nominal,1.0,ambiguous,CV_surface_quality_uncovered,51,9050,0.28329290842176413,0.30424911023035406,0.11094646657010891,0.37224512871288856,0.3267781605761055
nominal,1.0,moving,zero,135,12588,3.3009943613200288,3.3079466317381474,0.0,0.35924396703695455,0.2960469152210439
nominal,1.0,moving,D,135,12588,1.9597075158398398,1.9712414161032477,1.805460873280137,0.35924396703695455,0.2960469152210439
nominal,1.0,moving,CRN_CV,135,12588,1.3625059774550758,1.379064702987568,2.3345170600818745,0.35924396703695455,0.2960469152210439
nominal,1.0,moving,CV_D_speed05,135,12588,1.2186373019161052,1.2354574366193554,2.5134734018899594,0.35924396703695455,0.2960469152210439
nominal,1.0,moving,surface_all_zero,135,12588,2.891247174084425,2.898818293681562,0.9760513668810997,0.35924396703695455,0.2960469152210439
nominal,1.0,moving,surface_quality_zero,135,12588,2.9157947424852497,2.9232048999571107,0.8098279780098739,0.35924396703695455,0.2960469152210439
nominal,1.0,moving,CV_surface_all_uncovered,135,12588,1.2983546142701374,1.3148050309482764,2.503816200033916,0.35924396703695455,0.2960469152210439
nominal,1.0,moving,CV_surface_quality_uncovered,135,12588,1.2995977611347869,1.3161024226537628,2.447478192739012,0.35924396703695455,0.2960469152210439
nominal,1.5,all,zero,358,38639,1.9247085686338619,1.9517254319590989,0.0,0.3443886559234329,0.2906530447663934
nominal,1.5,all,D,358,38639,1.2217340252085351,1.246359612516375,0.73238441393959,0.3443886559234329,0.2906530447663934
nominal,1.5,all,CRN_CV,358,38639,0.8652575570372119,0.8963296588081093,0.8856734782363578,0.3443886559234329,0.2906530447663934
nominal,1.5,all,CV_D_speed05,358,38639,0.7871520518500106,0.8183457791326231,0.9559954329870319,0.3443886559234329,0.2906530447663934
nominal,1.5,all,surface_all_zero,358,38639,1.9985367326110555,2.0201347083771313,0.5837536750955016,0.3443886559234329,0.2906530447663934
nominal,1.5,all,surface_quality_zero,358,38639,1.9126439506943684,1.9360724009287098,0.4562945917593578,0.3443886559234329,0.2906530447663934
nominal,1.5,all,CV_surface_all_uncovered,358,38639,0.9097705404358535,0.9386070971677236,1.0056007000812792,0.3443886559234329,0.2906530447663934
nominal,1.5,all,CV_surface_quality_uncovered,358,38639,0.8742199822736365,0.9040036295899749,0.9606501657325239,0.3443886559234329,0.2906530447663934
nominal,1.5,stationary,zero,178,17942,0.04076253103809146,0.08357056512173242,0.0,0.31958930605230673,0.2734346558066423
nominal,1.5,stationary,D,178,17942,0.14997599923466848,0.18121105004858168,0.09147403673598427,0.31958930605230673,0.2734346558066423
