clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,quality_support_fraction
nominal,0.5,all,zero,373,40622,0.6567450000573326,0.6683432254973444,0.0,0.3317654850185716,0.27504878391209425
nominal,0.5,all,D,373,40622,0.44377511622794596,0.45417120106328646,0.7249305202221108,0.3317654850185716,0.27504878391209425
nominal,0.5,all,CRN_CV,373,40622,0.3016906940553417,0.31508233781325773,0.8583181279826082,0.3317654850185716,0.27504878391209425
nominal,0.5,all,CV_D_speed05,373,40622,0.27773294918686425,0.29112760147643557,0.9270133788683432,0.3317654850185716,0.27504878391209425
nominal,0.5,all,surface_all_zero,373,40622,0.6771642635269013,0.6864520888007883,0.5619921029480649,0.3317654850185716,0.27504878391209425
nominal,0.5,all,surface_quality_zero,373,40622,0.6517879668664686,0.6619263682247934,0.43038876303735835,0.3317654850185716,0.27504878391209425
nominal,0.5,all,CV_surface_all_uncovered,373,40622,0.3155861906085233,0.3279853390046302,0.9724563569723121,0.3317654850185716,0.27504878391209425
nominal,0.5,all,CV_surface_quality_uncovered,373,40622,0.3043248569411865,0.31713926500095585,0.9302994728407833,0.3317654850185716,0.27504878391209425
nominal,0.5,stationary,zero,184,18667,0.011037193621901125,0.02950468373243219,0.0,0.3070226014746714,0.26054172325904157
nominal,0.5,stationary,D,184,18667,0.05294487294119879,0.06734722483602229,0.1006628141982511,0.3070226014746714,0.26054172325904157
nominal,0.5,stationary,CRN_CV,184,18667,0.0158253056713551,0.03364995264502032,0.010779323167090828,0.3070226014746714,0.26054172325904157
nominal,0.5,stationary,CV_D_speed05,184,18667,0.017761295738511273,0.03556232867717444,0.01471886080074885,0.3070226014746714,0.26054172325904157
nominal,0.5,stationary,surface_all_zero,184,18667,0.16019020753555496,0.1736172506357452,0.30453376490652323,0.3070226014746714,0.26054172325904157
nominal,0.5,stationary,surface_quality_zero,184,18667,0.11110957485812244,0.126320362280604,0.20548762826806055,0.3070226014746714,0.26054172325904157
nominal,0.5,stationary,CV_surface_all_uncovered,184,18667,0.05942682868290406,0.07525841745828865,0.09924745739979414,0.3070226014746714,0.26054172325904157
nominal,0.5,stationary,CV_surface_quality_uncovered,184,18667,0.04005274953918823,0.0566601140431283,0.06015820295952209,0.3070226014746714,0.26054172325904157
nominal,0.5,ambiguous,zero,47,7237,0.10265601702990956,0.11285053870133963,0.0,0.35393489743468526,0.28976318670192636
nominal,0.5,ambiguous,D,47,7237,0.12525331367963874,0.13511529866742175,0.11651060606876405,0.35393489743468526,0.28976318670192636
nominal,0.5,ambiguous,CRN_CV,47,7237,0.11680921431439813,0.1270020107510264,0.03279745002716688,0.35393489743468526,0.28976318670192636
nominal,0.5,ambiguous,CV_D_speed05,47,7237,0.12047102014983563,0.13055654772288566,0.04270379801641479,0.35393489743468526,0.28976318670192636
nominal,0.5,ambiguous,surface_all_zero,47,7237,0.25196116437900334,0.26128238644068674,0.3850147264248034,0.35393489743468526,0.28976318670192636
nominal,0.5,ambiguous,surface_quality_zero,47,7237,0.19773529762411277,0.20736105459061935,0.25616603396274107,0.35393489743468526,0.28976318670192636
nominal,0.5,ambiguous,CV_surface_all_uncovered,47,7237,0.14577439301917006,0.15581473569084905,0.10871358382516086,0.35393489743468526,0.28976318670192636
nominal,0.5,ambiguous,CV_surface_quality_uncovered,47,7237,0.13544145408945918,0.1455563853338688,0.08276094876804364,0.35393489743468526,0.28976318670192636
