clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,quality_support_fraction
nominal,0.5,all,zero,373,40622,0.6567450000573326,0.6683432254973444,0.0,0.34175560423465307,0.27824508194689473
nominal,0.5,all,D,373,40622,0.44377511622794596,0.45417120106328646,0.7249305202221108,0.34175560423465307,0.27824508194689473
nominal,0.5,all,CRN_CV,373,40622,0.3016906940553417,0.31508233781325773,0.8583181279826082,0.34175560423465307,0.27824508194689473
nominal,0.5,all,CV_D_speed05,373,40622,0.27773294918686425,0.29112760147643557,0.9270133788683432,0.34175560423465307,0.27824508194689473
nominal,0.5,all,surface_all_zero,373,40622,0.8901803511118931,0.8997124007655607,0.8270455289590619,0.34175560423465307,0.27824508194689473
nominal,0.5,all,surface_quality_zero,373,40622,0.8040899644007924,0.8145649904988037,0.5711019479136018,0.34175560423465307,0.27824508194689473
nominal,0.5,all,CV_surface_all_uncovered,373,40622,0.3553043195224479,0.36772752396213493,1.0345405763016557,0.34175560423465307,0.27824508194689473
nominal,0.5,all,CV_surface_quality_uncovered,373,40622,0.33067159889673825,0.3435780202064063,0.9551188265838514,0.34175560423465307,0.27824508194689473
nominal,0.5,stationary,zero,184,18667,0.011037193621901125,0.02950468373243219,0.0,0.31007701820564615,0.25158676520854234
nominal,0.5,stationary,D,184,18667,0.05294487294119879,0.06734722483602229,0.1006628141982511,0.31007701820564615,0.25158676520854234
nominal,0.5,stationary,CRN_CV,184,18667,0.0158253056713551,0.03364995264502032,0.010779323167090828,0.31007701820564615,0.25158676520854234
nominal,0.5,stationary,CV_D_speed05,184,18667,0.017761295738511273,0.03556232867717444,0.01471886080074885,0.31007701820564615,0.25158676520854234
nominal,0.5,stationary,surface_all_zero,184,18667,0.302207947849065,0.3156949408821145,0.5889344207961138,0.31007701820564615,0.25158676520854234
nominal,0.5,stationary,surface_quality_zero,184,18667,0.1985886726776487,0.21429567049215487,0.38021931726365255,0.31007701820564615,0.25158676520854234
nominal,0.5,stationary,CV_surface_all_uncovered,184,18667,0.09122411136529854,0.10689232084455592,0.16285307372306732,0.31007701820564615,0.25158676520854234
nominal,0.5,stationary,CV_surface_quality_uncovered,184,18667,0.05735435700197372,0.07411906099706869,0.09466388899013978,0.31007701820564615,0.25158676520854234
nominal,0.5,ambiguous,zero,47,7237,0.10265601702990956,0.11285053870133963,0.0,0.3661679712410538,0.2943697697300595
nominal,0.5,ambiguous,D,47,7237,0.12525331367963874,0.13511529866742175,0.11651060606876405,0.3661679712410538,0.2943697697300595
nominal,0.5,ambiguous,CRN_CV,47,7237,0.11680921431439813,0.1270020107510264,0.03279745002716688,0.3661679712410538,0.2943697697300595
nominal,0.5,ambiguous,CV_D_speed05,47,7237,0.12047102014983563,0.13055654772288566,0.04270379801641479,0.3661679712410538,0.2943697697300595
nominal,0.5,ambiguous,surface_all_zero,47,7237,0.5789203793949304,0.5877114322869719,1.0621488142435096,0.3661679712410538,0.2943697697300595
nominal,0.5,ambiguous,surface_quality_zero,47,7237,0.44395406120351644,0.4529305858381279,0.7730288985589594,0.3661679712410538,0.2943697697300595
nominal,0.5,ambiguous,CV_surface_all_uncovered,47,7237,0.22127606219496135,0.23124544639568537,0.2660480563585878,0.3661679712410538,0.2943697697300595
nominal,0.5,ambiguous,CV_surface_quality_uncovered,47,7237,0.18479087772445804,0.19488391147924208,0.18746200346830333,0.3661679712410538,0.2943697697300595
nominal,0.5,moving,zero,142,14718,1.676832454891194,1.6799942674984434,0.0,0.37472376324899426,0.30745120838385315
nominal,0.5,moving,D,142,14718,1.0556292675274666,1.0610109126014713,1.735219209472798,0.37472376324899426,0.30745120838385315
nominal,0.5,moving,CRN_CV,142,14718,0.733300982861524,0.7420072268476278,2.2297731417147277,0.37472376324899426,0.30745120838385315
nominal,0.5,moving,CV_D_speed05,142,14718,0.6666491104490987,0.6754293600784138,2.401835502984386,0.37472376324899426,0.30745120838385315
nominal,0.5,moving,surface_all_zero,142,14718,1.7550827516122987,1.759735345392658,1.0577679901816912,0.37472376324899426,0.30745120838385315
nominal,0.5,moving,surface_quality_zero,142,14718,1.7078830991003024,1.7120746517683472,0.7516078448097909,0.37472376324899426,0.30745120838385315
nominal,0.5,moving,CV_surface_all_uncovered,142,14718,0.7418542237147531,0.7508848128301466,2.4184113432860537,0.37472376324899426,0.30745120838385315
nominal,0.5,moving,CV_surface_quality_uncovered,142,14718,0.7331136158244416,0.7419517639014404,2.324158116750568,0.37472376324899426,0.30745120838385315
nominal,1.0,all,zero,366,39975,1.2602264619109147,1.2802993571791126,0.0,0.3472100131983328,0.2831512466105857
nominal,1.0,all,D,366,39975,0.8053896457440783,0.8236570422292054,0.726797379537968,0.3472100131983328,0.2831512466105857
nominal,1.0,all,CRN_CV,366,39975,0.5538969353351048,0.5770617616273134,0.8747040311781276,0.3472100131983328,0.2831512466105857
nominal,1.0,all,CV_D_speed05,366,39975,0.5037708563352533,0.5269744911330531,0.944127922625506,0.3472100131983328,0.2831512466105857
nominal,1.0,all,surface_all_zero,366,39975,1.7287707047217191,1.7460033297774753,0.8398681949620769,0.3472100131983328,0.2831512466105857
nominal,1.0,all,surface_quality_zero,366,39975,1.5540555855224343,1.572682621681615,0.5818139560775931,0.3472100131983328,0.2831512466105857
nominal,1.0,all,CV_surface_all_uncovered,366,39975,0.6621162320441829,0.6837833702156195,1.0537816128445217,0.3472100131983328,0.2831512466105857
nominal,1.0,all,CV_surface_quality_uncovered,366,39975,0.6124118512698838,0.6347502376210524,0.9732002817990951,0.3472100131983328,0.2831512466105857
nominal,1.0,stationary,zero,180,18337,0.02509893780165559,0.05482626941543632,0.0,0.316064065055297,0.25260652016666435
nominal,1.0,stationary,D,180,18337,0.09796353829894705,0.12086380343248063,0.09040349416319585,0.316064065055297,0.25260652016666435
nominal,1.0,stationary,CRN_CV,180,18337,0.03445256194259361,0.06325535754602926,0.011180930134919213,0.316064065055297,0.25260652016666435
nominal,1.0,stationary,CV_D_speed05,180,18337,0.03838456948125217,0.06713266700065948,0.01517651870805479,0.316064065055297,0.25260652016666435
nominal,1.0,stationary,surface_all_zero,180,18337,0.5889763426382493,0.6110669435917877,0.5724417403504066,0.316064065055297,0.25260652016666435
nominal,1.0,stationary,surface_quality_zero,180,18337,0.3738642970770104,0.39951261905628777,0.3552495991629701,0.316064065055297,0.25260652016666435
nominal,1.0,stationary,CV_surface_all_uncovered,180,18337,0.18947712606282544,0.21487369026182784,0.16773398586447794,0.316064065055297,0.25260652016666435
nominal,1.0,stationary,CV_surface_quality_uncovered,180,18337,0.12157890191674736,0.14862302658265894,0.09934150706382207,0.316064065055297,0.25260652016666435
nominal,1.0,ambiguous,zero,51,9050,0.21746740150770247,0.23819688133581693,0.0,0.40662997614112883,0.336332150557926
nominal,1.0,ambiguous,D,51,9050,0.2466403688263478,0.26638042478635826,0.11760772683730508,0.40662997614112883,0.336332150557926
nominal,1.0,ambiguous,CRN_CV,51,9050,0.24679431816757366,0.2675471665488183,0.05822166423247533,0.40662997614112883,0.336332150557926
nominal,1.0,ambiguous,CV_D_speed05,51,9050,0.25401715987064916,0.27454960296011305,0.06863013839884022,0.40662997614112883,0.336332150557926
nominal,1.0,ambiguous,surface_all_zero,51,9050,1.5149573064896311,1.5343873048442231,1.4234774739447504,0.40662997614112883,0.336332150557926
nominal,1.0,ambiguous,surface_quality_zero,51,9050,1.1364487444702427,1.1557163383024907,1.021502328267556,0.40662997614112883,0.336332150557926
nominal,1.0,ambiguous,CV_surface_all_uncovered,51,9050,0.4852439276806075,0.505849771727489,0.32319037832233927,0.40662997614112883,0.336332150557926
nominal,1.0,ambiguous,CV_surface_quality_uncovered,51,9050,0.39615563954792754,0.41683398079938616,0.22702586460887245,0.40662997614112883,0.336332150557926
nominal,1.0,moving,zero,135,12588,3.3009943613200288,3.3079466317381474,0.0,0.3662904024995464,0.30378698482237465
nominal,1.0,moving,D,135,12588,1.9597075158398398,1.9712414161032477,1.805460873280137,0.3662904024995464,0.30378698482237465
nominal,1.0,moving,CRN_CV,135,12588,1.3625059774550758,1.379064702987568,2.3345170600818745,0.3662904024995464,0.30378698482237465
