clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,quality_support_fraction
nominal,0.5,all,zero,373,40622,0.6567450000573326,0.6683432254973444,0.0,0.3310463666438842,0.19237553742834415
nominal,0.5,all,D,373,40622,0.44377511622794596,0.45417120106328646,0.7249305202221108,0.3310463666438842,0.19237553742834415
nominal,0.5,all,CRN_CV,373,40622,0.3016906940553417,0.31508233781325773,0.8583181279826082,0.3310463666438842,0.19237553742834415
nominal,0.5,all,CV_D_speed05,373,40622,0.27773294918686425,0.29112760147643557,0.9270133788683432,0.3310463666438842,0.19237553742834415
nominal,0.5,all,surface_all_zero,373,40622,1.5148744916288381,1.5256538966413535,2.1861531583204235,0.3310463666438842,0.19237553742834415
nominal,0.5,all,surface_quality_zero,373,40622,0.9137643094304695,0.9248568689825084,0.7764103682624569,0.3310463666438842,0.19237553742834415
nominal,0.5,all,CV_surface_all_uncovered,373,40622,0.5562893113324728,0.5688711409021951,1.455535208199671,0.3310463666438842,0.19237553742834415
nominal,0.5,all,CV_surface_quality_uncovered,373,40622,0.36944571913396,0.38254126895665663,1.036303751777046,0.3310463666438842,0.19237553742834415
nominal,0.5,stationary,zero,184,18667,0.011037193621901125,0.02950468373243219,0.0,0.3090342678040938,0.20359645670304508
nominal,0.5,stationary,D,184,18667,0.05294487294119879,0.06734722483602229,0.1006628141982511,0.3090342678040938,0.20359645670304508
nominal,0.5,stationary,CRN_CV,184,18667,0.0158253056713551,0.03364995264502032,0.010779323167090828,0.3090342678040938,0.20359645670304508
nominal,0.5,stationary,CV_D_speed05,184,18667,0.017761295738511273,0.03556232867717444,0.01471886080074885,0.3090342678040938,0.20359645670304508
nominal,0.5,stationary,surface_all_zero,184,18667,0.8365831837538102,0.851577634347617,1.658332524093991,0.3090342678040938,0.20359645670304508
nominal,0.5,stationary,surface_quality_zero,184,18667,0.24208797751744626,0.2593112895332573,0.46680162207158277,0.3090342678040938,0.20359645670304508
nominal,0.5,stationary,CV_surface_all_uncovered,184,18667,0.31593862624655666,0.33187700328716735,0.6124527859929635,0.3090342678040938,0.20359645670304508
nominal,0.5,stationary,CV_surface_quality_uncovered,184,18667,0.09302219900614814,0.1101680809193428,0.1661828660416173,0.3090342678040938,0.20359645670304508
nominal,0.5,ambiguous,zero,47,7237,0.10265601702990956,0.11285053870133963,0.0,0.3574460820214484,0.20468318433459173
nominal,0.5,ambiguous,D,47,7237,0.12525331367963874,0.13511529866742175,0.11651060606876405,0.3574460820214484,0.20468318433459173
nominal,0.5,ambiguous,CRN_CV,47,7237,0.11680921431439813,0.1270020107510264,0.03279745002716688,0.3574460820214484,0.20468318433459173
nominal,0.5,ambiguous,CV_D_speed05,47,7237,0.12047102014983563,0.13055654772288566,0.04270379801641479,0.3574460820214484,0.20468318433459173
nominal,0.5,ambiguous,surface_all_zero,47,7237,1.3946232289031093,1.4045849347518116,2.6832379673080355,0.3574460820214484,0.20468318433459173
nominal,0.5,ambiguous,surface_quality_zero,47,7237,0.2769458146273201,0.2866300313399973,0.39621552505181784,0.3574460820214484,0.20468318433459173
nominal,0.5,ambiguous,CV_surface_all_uncovered,47,7237,0.528750979059644,0.538836967375154,0.8791036739971431,0.3574460820214484,0.20468318433459173
nominal,0.5,ambiguous,CV_surface_quality_uncovered,47,7237,0.15704996929071965,0.1671315763700458,0.12160022520887721,0.3574460820214484,0.20468318433459173
nominal,0.5,moving,zero,142,14718,1.676832454891194,1.6799942674984434,0.0,0.35083115230427786,0.17376209692736794
nominal,0.5,moving,D,142,14718,1.0556292675274666,1.0610109126014713,1.735219209472798,0.35083115230427786,0.17376209692736794
nominal,0.5,moving,CRN_CV,142,14718,0.733300982861524,0.7420072268476278,2.2297731417147277,0.35083115230427786,0.17376209692736794
nominal,0.5,moving,CV_D_speed05,142,14718,0.6666491104490987,0.6754293600784138,2.401835502984386,0.35083115230427786,0.17376209692736794
nominal,0.5,moving,surface_all_zero,142,14718,2.433588646538094,2.439176949253016,2.7055616842024364,0.35083115230427786,0.17376209692736794
nominal,0.5,moving,surface_quality_zero,142,14718,1.9948834244145845,1.9984980519956084,1.3034326705865482,0.35083115230427786,0.17376209692736794
nominal,0.5,moving,CV_surface_all_uncovered,142,14718,0.8768444357876246,0.8859030245425896,2.7387707560415944,0.35083115230427786,0.17376209692736794
nominal,0.5,moving,CV_surface_quality_uncovered,142,14718,0.7979283103040283,0.8067731150864909,2.4665383202560798,0.35083115230427786,0.17376209692736794
nominal,1.0,all,zero,366,39975,1.2602264619109147,1.2802993571791126,0.0,0.33633892797453335,0.19584326878751523
nominal,1.0,all,D,366,39975,0.8053896457440783,0.8236570422292054,0.726797379537968,0.33633892797453335,0.19584326878751523
nominal,1.0,all,CRN_CV,366,39975,0.5538969353351048,0.5770617616273134,0.8747040311781276,0.33633892797453335,0.19584326878751523
nominal,1.0,all,CV_D_speed05,366,39975,0.5037708563352533,0.5269744911330531,0.944127922625506,0.33633892797453335,0.19584326878751523
nominal,1.0,all,surface_all_zero,366,39975,3.00395465152806,3.0235695041641573,2.221624079118007,0.33633892797453335,0.19584326878751523
