clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,quality_support_fraction
nominal,0.5,all,zero,373,40622,0.6567450000573326,0.6683432254973444,0.0,0.3296469612356653,0.19231210463008774
nominal,0.5,all,D,373,40622,0.44377511622794596,0.45417120106328646,0.7249305202221108,0.3296469612356653,0.19231210463008774
nominal,0.5,all,CRN_CV,373,40622,0.3016906940553417,0.31508233781325773,0.8583181279826082,0.3296469612356653,0.19231210463008774
nominal,0.5,all,CV_D_speed05,373,40622,0.27773294918686425,0.29112760147643557,0.9270133788683432,0.3296469612356653,0.19231210463008774
nominal,0.5,all,surface_all_zero,373,40622,1.5409069338079329,1.551770707239715,2.2248811641827206,0.3296469612356653,0.19231210463008774
nominal,0.5,all,surface_quality_zero,373,40622,0.9221875050570251,0.9333154405120472,0.7892601086530106,0.3296469612356653,0.19231210463008774
nominal,0.5,all,CV_surface_all_uncovered,373,40622,0.5266060326897328,0.5391598946839373,1.381325337117315,0.3296469612356653,0.19231210463008774
nominal,0.5,all,CV_surface_quality_uncovered,373,40622,0.351642111637587,0.3647392742568764,0.9989113489620814,0.3296469612356653,0.19231210463008774
nominal,0.5,stationary,zero,184,18667,0.011037193621901125,0.02950468373243219,0.0,0.3117469348352406,0.20404462186435343
nominal,0.5,stationary,D,184,18667,0.05294487294119879,0.06734722483602229,0.1006628141982511,0.3117469348352406,0.20404462186435343
nominal,0.5,stationary,CRN_CV,184,18667,0.0158253056713551,0.03364995264502032,0.010779323167090828,0.3117469348352406,0.20404462186435343
nominal,0.5,stationary,CV_D_speed05,184,18667,0.017761295738511273,0.03556232867717444,0.01471886080074885,0.3117469348352406,0.20404462186435343
nominal,0.5,stationary,surface_all_zero,184,18667,0.8900354109494518,0.9052700769226547,1.7652168244836297,0.3117469348352406,0.20404462186435343
nominal,0.5,stationary,surface_quality_zero,184,18667,0.27087513354884857,0.288119013877125,0.5242877831786394,0.3117469348352406,0.20404462186435343
nominal,0.5,stationary,CV_surface_all_uncovered,184,18667,0.3155717431009728,0.33151253391478075,0.6116719706741687,0.3117469348352406,0.20404462186435343
nominal,0.5,stationary,CV_surface_quality_uncovered,184,18667,0.0964671708397983,0.11362301412493196,0.17307247097154776,0.3117469348352406,0.20404462186435343
nominal,0.5,ambiguous,zero,47,7237,0.10265601702990956,0.11285053870133963,0.0,0.35471760161393373,0.2056656663157783
nominal,0.5,ambiguous,D,47,7237,0.12525331367963874,0.13511529866742175,0.11651060606876405,0.35471760161393373,0.2056656663157783
nominal,0.5,ambiguous,CRN_CV,47,7237,0.11680921431439813,0.1270020107510264,0.03279745002716688,0.35471760161393373,0.2056656663157783
nominal,0.5,ambiguous,CV_D_speed05,47,7237,0.12047102014983563,0.13055654772288566,0.04270379801641479,0.35471760161393373,0.2056656663157783
nominal,0.5,ambiguous,surface_all_zero,47,7237,1.4510733652420034,1.4609427812866722,2.7931177901702355,0.35471760161393373,0.2056656663157783
nominal,0.5,ambiguous,surface_quality_zero,47,7237,0.3304338246390867,0.3400399652907007,0.5011189419503305,0.35471760161393373,0.2056656663157783
nominal,0.5,ambiguous,CV_surface_all_uncovered,47,7237,0.44987826665940117,0.4599934843138969,0.7190159020852934,0.35471760161393373,0.2056656663157783
nominal,0.5,ambiguous,CV_surface_quality_uncovered,47,7237,0.15275399729405914,0.16283096583540488,0.11300911119599187,0.35471760161393373,0.2056656663157783
nominal,0.5,moving,zero,142,14718,1.676832454891194,1.6799942674984434,0.0,0.3445433327842536,0.1726895654023952
